City,State,Month,Avg High,Avg Low,TempDiff,,,,,,,,,,,
Seattle,WA,Jan,47,37,10,,,,,,,,,,,
Seattle,WA,Feb,50,37,13,,,,,,,,,,,
Seattle,WA,Mar,54,39,15,,,,,,,,,,,
Seattle,WA,Apr,58,42,16,,,,,,,,,,,
Seattle,WA,May,65,47,18,,,,,,,,,,,
Seattle,WA,Jun,70,52,18,,,,,,,,,,,
Seattle,WA,Jul,76,56,20,,,,,,,,,,,
Seattle,WA,Aug,76,56,20,,,,,,,,,,,
Seattle,WA,Sep,71,52,19,,,,,,,,,,,
Seattle,WA,Oct,60,46,14,,,,,,,,,,,
Seattle,WA,Nov,51,40,11,,,,,,,,,,,
Seattle,WA,Dec,46,36,10,,,,,,,,,,,
Phoenix,AZ,Jan,67,46,21,,,,,,,,,,,
Phoenix,AZ,Feb,71,49,22,,,,,,,,,,,
Phoenix,AZ,Mar,77,53,24,,,,,,,,,,,
Phoenix,AZ,Apr,85,60,25,,,,,,,,,,,
Phoenix,AZ,May,95,69,26,,,,,,,,,,,
Phoenix,AZ,Jun,104,78,26,,,,,,,,,,,
Phoenix,AZ,Jul,106,83,23,,,,,,,,,,,
Phoenix,AZ,Aug,104,83,21,,,,,,,,,,,
Phoenix,AZ,Sep,100,77,23,,,,,,,,,,,
Phoenix,AZ,Oct,89,65,24,,,,,,,,,,,
Phoenix,AZ,Nov,76,53,23,,,,,,,,,,,
Phoenix,AZ,Dec,66,45,21,,,,,,,,,,,
Houston,TX,Jan,62,63,43,,,,,,,,,,,
Houston,TX,Feb,65,66,47,,,,,,,,,,,
Houston,TX,Mar,72,73,53,,,,,,,,,,,
Houston,TX,Apr,78,80,59,,,,,,,,,,,
Houston,TX,May,84,86,68,,,,,,,,,,,
Houston,TX,Jun,90,91,74,,,,,,,,,,,
Houston,TX,Jul,92,94,75,,,,,,,,,,,
Houston,TX,Aug,93,94,75,,,,,,,,,,,
Houston,TX,Sep,88,90,70,,,,,,,,,,,
Houston,TX,Oct,81,82,61,,,,,,,,,,,
Houston,TX,Nov,71,73,52,,,,,,,,,,,
Houston,TX,Dec,63,64,45,,,,,,,,,,,
Charlotte,NC,Jan,51,30,21,,,,,,,,,,,
Charlotte,NC,Feb,55,33,22,,,,,,,,,,,
Charlotte,NC,Mar,63,39,24,,,,,,,,,,,
Charlotte,NC,Apr,72,47,25,,,,,,,,,,,
Charlotte,NC,May,79,56,23,,,,,,,,,,,
Charlotte,NC,Jun,86,65,21,,,,,,,,,,,
Charlotte,NC,Jul,89,68,21,,,,,,,,,,,
Charlotte,NC,Aug,87,67,20,,,,,,,,,,,
Charlotte,NC,Sep,81,60,21,,,,,,,,,,,
Charlotte,NC,Oct,72,49,23,,,,,,,,,,,
Charlotte,NC,Nov,62,39,23,,,,,,,,,,,
Charlotte,NC,Dec,53,32,21,,,,,,,,,,,
Washington DC,NaN,Jan,44,27,17,,,,,,,,,,,
Washington DC,NaN,Feb,48,29,19,,,,,,,,,,,
Washington DC,NaN,Mar,56,36,20,,,,,,,,,,,
Washington DC,NaN,Apr,68,45,23,,,,,,,,,,,
Washington DC,NaN,May,77,55,22,,,,,,,,,,,
Washington DC,NaN,Jun,86,65,21,,,,,,,,,,,
Washington DC,NaN,Jul,90,70,20,,,,,,,,,,,
Washington DC,NaN,Aug,88,68,20,,,,,,,,,,,
Washington DC,NaN,Sep,81,59,22,,,,,,,,,,,
Washington DC,NaN,Oct,70,47,23,,,,,,,,,,,
Washington DC,NaN,Nov,59,38,21,,,,,,,,,,,
Washington DC,NaN,Dec,48,30,18,,,,,,,,,,,
Boston,MA,Jan,36,22,14,,,,,,,,,,,
Boston,MA,Feb,39,25,14,,,,,,,,,,,
Boston,MA,Mar,45,31,14,,,,,,,,,,,
Boston,MA,Apr,56,41,15,,,,,,,,,,,
Boston,MA,May,66,50,16,,,,,,,,,,,
Boston,MA,Jun,76,60,16,,,,,,,,,,,
Boston,MA,Jul,81,65,16,,,,,,,,,,,
Boston,MA,Aug,80,65,15,,,,,,,,,,,
Boston,MA,Sep,72,57,15,,,,,,,,,,,
Boston,MA,Oct,61,47,14,,,,,,,,,,,
Boston,MA,Nov,51,38,13,,,,,,,,,,,
Boston,MA,Dec,41,28,13,,,,,,,,,,,
