City,State,Year,HMedInc25-44,HMedInc45-64,AvgSum
Seattle,WA,2017,91751,93188,92469.5
Seattle,WA,2016,83950,87611,85780.5
Seattle,WA,2015,80372,82211,81291.5
Seattle,WA,2014,76025,79263,77644
Seattle,WA,2013,73794,76358,75076
Seattle,WA,2012,71646,74218,72932
Seattle,WA,2011,70835,72013,71424
Seattle,WA,2010,68051,71582,69816.5
Seattle,WA,2009,66582,69711,68146.5
Phoenix,AZ,2017,53507,60352,56929.5
Phoenix,AZ,2016,50486,56931,53708.5
Phoenix,AZ,2015,48236,55231,51733.5
Phoenix,AZ,2014,47452,55293,51372.5
Phoenix,AZ,2013,47894,55814,51854
Phoenix,AZ,2012,48481,56885,52683
Phoenix,AZ,2011,50012,57796,53904
Phoenix,AZ,2010,50315,58949,54632
Phoenix,AZ,2009,49781,58982,54381.5
Houston,TX,2017,50613,56009,53311
Houston,TX,2016,48044,54157,51100.5
Houston,TX,2015,46937,53789,50363
Houston,TX,2014,46572,53750,50161
Houston,TX,2013,45577,53517,49547
Houston,TX,2012,44672,54313,49492.5
Houston,TX,2011,44103,54543,49323
Houston,TX,2010,42737,53330,48033.5
Houston,TX,2009,41986,53616,47801
Charlotte,NC,2017,61551,67850,64700.5
Charlotte,NC,2016,58564,64899,61731.5
Charlotte,NC,2015,56537,62025,59281
Charlotte,NC,2014,55686,62009,58847.5
Charlotte,NC,2013,54745,60647,57696
Charlotte,NC,2012,55418,61258,58338
Charlotte,NC,2011,56194,62259,59226.5
Charlotte,NC,2010,55940,60496,58218
Charlotte,NC,2009,56322,61091,58706.5
Washington DC,NaN,2017,92441,78333,85387
Washington DC,NaN,2016,86812,73520,80166
Washington DC,NaN,2015,84667,71544,78105.5
Washington DC,NaN,2014,83013,69931,76472
Washington DC,NaN,2013,80115,66957,73536
Washington DC,NaN,2012,77918,67945,72931.5
Washington DC,NaN,2011,74315,65920,70117.5
Washington DC,NaN,2010,69979,62670,66324.5
Washington DC,NaN,2009,65371,61590,63480.5
Boston,MA,2017,78993,67253,73123
Boston,MA,2016,73601,64125,68863
Boston,MA,2015,70623,61586,66104.5
Boston,MA,2014,68804,61123,64963.5
Boston,MA,2013,68320,60631,64475.5
Boston,MA,2012,66757,61779,64268
Boston,MA,2011,65263,59533,62398
Boston,MA,2010,62820,57956,60388
Boston,MA,2009,64101,56706,60403.5
